symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,yearHigh,yearLow,totalTradedVolume,totalTradedValue,lastUpdateTime,perChange365d,perChange30d
OLECTRA,OLECTRAEQN,1080.4,1117.6,1052.1,1072,1080.4,-8.4,-0.78,1465,374.1,450338,488913953.08000004,25-Oct-2023 15:58:35,82.84,-10.19
NH,NHEQN,1032.05,1034,990,1009,1017,-8,-0.79,1132.8,699.3,207714,209882534.16000003,25-Oct-2023 15:59:22,39.13,-4.19
IBULHSGFIN,IBULHSGFINEQN,161,165.85,153.8,156.25,157.5,-1.25,-0.79,207.7,91.8,22575694,3588632318.2400002,25-Oct-2023 15:59:49,23.63,-14.61
CHEMPLASTS,CHEMPLASTSEQN,443.8,454.35,435.3,440,443.8,-3.8,-0.86,543.25,342.05,74494,32793003.74,25-Oct-2023 15:48:50,13.88,-8.25
ROSSARI,ROSSARIEQN,810.05,810.05,770.55,789,796,-7,-0.88,926.95,536.35,66935,52663119.3,25-Oct-2023 15:54:49,-11.22,-3.26
VTL,VTLEQN,355,364.95,344,350.6,353.85,-3.25,-0.92,418.95,270,327215,114312560.25,25-Oct-2023 15:56:17,-0.38,-10.02
360ONE,360ONEEQN,532.05,536.25,524.7,527.55,532.8,-5.25,-0.99,570,395.1,121375,64343315,25-Oct-2023 15:59:30,-,0.74
JMFINANCIL,JMFINANCILEQN,81.6,82.6,77.75,80.05,80.85,-0.8,-0.99,95.9,57.85,5931322,477590047.44,25-Oct-2023 15:58:33,17,-5.27
KAYNES,KAYNESEQN,2372,2400,2269.6,2317.6,2341.1,-23.5,-1,2965.6,666.8,181625,427981150,25-Oct-2023 15:59:10,-,14.19
BBTC,BBTCEQN,1420.95,1444.6,1340.05,1412.5,1427.5,-15,-1.05,1512.45,781.05,580208,806883661.44,25-Oct-2023 15:59:33,62.78,18.66
NUVOCO,NUVOCOEQN,352.6,357,346.3,347.5,351.25,-3.75,-1.07,412,288,117155,40959731.1,25-Oct-2023 15:54:09,-9.85,-4.91
GILLETTE,GILLETTEEQN,6230.1,6294.6,6086.65,6165,6233.15,-68.15,-1.09,6415,4135.25,15449,95451028.54,25-Oct-2023 15:46:17,20.15,3.96
ORIENTELEC,ORIENTELECEQN,222,222,212.2,215.3,217.8,-2.5,-1.15,291,212.2,226772,48805869.839999996,25-Oct-2023 15:59:22,-19.93,-0.86
RAIN,RAINEQN,155,155.3,148.95,152,153.8,-1.8,-1.17,190.9,143.25,1357760,206718960,25-Oct-2023 15:56:58,-6.87,-7.79
KFINTECH,KFINTECHEQN,454,466,440.25,447.5,453.05,-5.55,-1.23,493.25,272,243863,109406696.32,25-Oct-2023 15:58:32,-,0.35
AETHER,AETHEREQN,907,908,862,880.5,891.5,-11,-1.23,1209,810,89035,78387304.35,25-Oct-2023 15:56:40,-10.41,-8.81
FINEORG,FINEORGEQN,4654.95,4704.55,4535.45,4599,4658,-59,-1.27,6872,4040,26946,123488398.26,25-Oct-2023 15:59:22,-31.84,-5.23
EIHOTEL,EIHOTELEQN,216.85,218.15,209.55,214.1,216.85,-2.75,-1.27,274.95,150.35,572118,121838249.28,25-Oct-2023 15:58:27,12.71,-7.07
SUPRAJIT,SUPRAJITEQN,372,376.9,360,368,372.9,-4.9,-1.31,446.4,317.25,271079,99925140.98,25-Oct-2023 15:54:08,12.88,-8.22
