symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,yearHigh,yearLow,totalTradedVolume,totalTradedValue,lastUpdateTime,perChange365d,perChange30d
JSWSTEEL,JSWSTEELEQN,754.1,761.85,741.5,745.85,748.95,-3.1,-0.41,840,620.55,2417579,1815698532.1599998,25-Oct-2023 15:56:00,18.96,-3.24
HCLTECH,HCLTECHEQN,1231.2,1252.9,1225.3,1230,1236.65,-6.65,-0.54,1311.3,1011.5,1420065,1755952974.45,25-Oct-2023 15:59:08,19.88,-2.91
TCS,TCSEQN,3390.5,3425,3377.2,3390.55,3410.15,-19.6,-0.57,3679,3070.25,1518537,5160201321.179999,25-Oct-2023 15:59:56,7.86,-5.37
ULTRACEMCO,ULTRACEMCOEQN,8355,8398.5,8186.25,8264.95,8325.25,-60.3,-0.72,8750.95,6370.35,255678,2114567001.54,25-Oct-2023 15:56:04,30.19,1.68
DRREDDY,DRREDDYEQN,5600,5612.2,5500,5509.5,5551.95,-42.45,-0.76,5989.7,4175.1,420896,2340320655.68,25-Oct-2023 15:58:32,26.83,0.63
AXISBANK,AXISBANKEQN,960,974,951.4,956.85,964.3,-7.45,-0.77,1047.5,814.3,6957048,6691775759.76,25-Oct-2023 15:59:37,6.03,-5.3
UPL,UPLEQN,586.7,592.75,577.85,582.1,586.7,-4.6,-0.78,807,576.95,2986843,1744585127.8700001,25-Oct-2023 15:59:52,-17.14,-4.57
HDFCBANK,HDFCBANKEQN,1521,1522.8,1491.45,1494.2,1506.05,-11.85,-0.79,1757.5,1445,14155998,21316809588.3,25-Oct-2023 15:59:55,3.08,-1.54
ITC,ITCEQN,436.9,438,427.05,432.3,435.9,-3.6,-0.83,499.7,325.35,10889221,4707192453.88,25-Oct-2023 15:59:30,25.37,-1.62
ONGC,ONGCEQN,184.85,185.85,183,183.3,184.85,-1.55,-0.84,192.25,129.85,6812004,1257155338.2,25-Oct-2023 15:59:13,39.19,-0.14
GRASIM,GRASIMEQN,1901.1,1920.05,1868.95,1885.2,1902.75,-17.55,-0.92,2022,1527.05,735409,1390070091.8,25-Oct-2023 15:59:36,11.99,-0.48
TITAN,TITANEQN,3216,3236.3,3179,3190,3219.75,-29.75,-0.92,3352,2269.6,762466,2446143421.2,25-Oct-2023 15:55:42,19.97,-1.67
BPCL,BPCLEQN,342.55,346.5,338.5,339.45,342.8,-3.35,-0.98,397.9,297.35,2714887,930201732.81,25-Oct-2023 15:59:36,13.98,-2.6
HDFCLIFE,HDFCLIFEEQN,625.25,627.95,607.7,618.55,625.25,-6.7,-1.07,690.85,457.8,2821496,1735897199.04,25-Oct-2023 15:58:43,15.46,-3.73
BAJAJ-AUTO,BAJAJ-AUTOEQN,5385,5423.95,5332.3,5343,5405.4,-62.4,-1.15,5510,3520.05,620266,3332844284.5,25-Oct-2023 15:58:17,46.1,8.09
LT,LTEQN,2959,2965.5,2910.3,2919.95,2958.3,-38.35,-1.3,3114.95,1891.55,2108353,6187425716.16,25-Oct-2023 15:58:49,54.91,1.36
INDUSINDBK,INDUSINDBKEQN,1444.95,1446.95,1410.05,1416,1435,-19,-1.32,1475.65,990,4045910,5774444129.3,25-Oct-2023 15:57:58,25.23,-1.23
INFY,INFYEQN,1399,1402.55,1361.3,1372,1408.65,-18.65,-1.34,1672.6,1185.3,6940777,9558421637.78,25-Oct-2023 15:59:49,-7.19,-5.85
ICICIBANK,ICICIBANKEQN,926.05,933.8,911.4,917.4,929.95,-12.55,-1.35,1008.7,796,12593434,11600567663.44,25-Oct-2023 15:59:38,0.39,-2.14
TECHM,TECHMEQN,1162,1165.9,1136.5,1139.9,1155.95,-16.05,-1.39,1320,981.05,1555285,1790957336.05,25-Oct-2023 15:59:46,10.28,-11.45
TATAMOTORS,TATAMOTORSEQN,650,651.9,636.05,637.9,647.35,-9.45,-1.46,677.8,375.2,8229559,5293663826.75,25-Oct-2023 15:59:48,61.19,4.34
BAJFINANCE,BAJFINANCEEQN,7798.9,7856.95,7676,7685,7798.9,-113.9,-1.46,8192,5485.7,708774,5487285781.559999,25-Oct-2023 15:59:12,8.22,4.38
DIVISLAB,DIVISLABEQN,3500,3519.85,3421.35,3445.8,3500.95,-55.15,-1.58,3934.7,2730,522676,1810889403.4,25-Oct-2023 15:58:35,-3.09,-5.51
BHARTIARTL,BHARTIARTLEQN,924.6,939.65,919,924.5,939.3,-14.8,-1.58,960.25,735.8,6365249,5903450185.05,25-Oct-2023 15:57:55,17.11,3.06
NTPC,NTPCEQN,236,236.3,228.35,232.45,236.55,-4.1,-1.73,251.5,161.9,23949207,5557652976.42,25-Oct-2023 15:59:50,41.69,-0.59
EICHERMOT,EICHERMOTEQN,3435.1,3446.25,3368.8,3386.5,3446.35,-59.85,-1.74,3889.65,2836,354128,1207718131.2,25-Oct-2023 15:59:15,-5.35,1.08
CIPLA,CIPLAEQN,1184.5,1188.75,1154.05,1161.25,1183.8,-22.55,-1.9,1277.9,852,1433911,1669645968.4,25-Oct-2023 15:58:39,3.22,-0.18
SBILIFE,SBILIFEEQN,1323.05,1346.1,1308.65,1311,1338.4,-27.4,-2.05,1393,1054,945901,1253328284.01,25-Oct-2023 15:59:06,6.42,1.48
ADANIENT,ADANIENTEQN,2320,2348.05,2235.3,2261,2308.65,-47.65,-2.06,4190,1017.45,1540819,3524346115.0800004,25-Oct-2023 15:59:55,-30.25,-6.34
APOLLOHOSP,APOLLOHOSPEQN,4960,4971.35,4831.5,4850,4969.55,-119.55,-2.41,5364,4123,894230,4375896620.4,25-Oct-2023 15:57:59,12.68,-0.4
NIFTY FINSRV25 50,NIFTY FINSRV25 50,20215.95,20277.65,19903.85,19968.65,20200.75,-232.09999999999854,-1.15,0,0,94731483,80109415519.55,25-Oct-2023 16:00:00,14.34,-1.25
NIFTY FIN SERVICE,NIFTY FIN SERVICE,19460.4,19486.85,19192.25,19224.1,19404.8,-180.70000000000073,-0.93,20666.6,17261.3,94731483,80109415519.55,25-Oct-2023 16:00:00,5.32,-1.66
NIFTY PSU BANK,NIFTY PSU BANK,4808.6,4852.9,4725.05,4772.05,4763.8,8.25,0.17,5396.85,3378,413621886,31809191561.81,25-Oct-2023 16:00:00,43.88,-8.65
PSB,PSBEQN,38,39.6,37,38.75,38.1,0.65,1.71,53.55,15.8,6397242,245846010.06,25-Oct-2023 15:58:35,135.91,-17.62
NIFTY 500,NIFTY 500,16912.4,16967.1,16677.15,16760.8,16888.7,-127.90000000000146,-0.76,17754.05,14177.5,2453601390,557765338286.97,25-Oct-2023 16:00:00,11.12,-2.16
NIFTY IT,NIFTY IT,30790.35,31004.2,30469,30530.5,30848.4,-317.90000000000146,-1.03,33402.75,26184.45,16568181,27587468997.51,25-Oct-2023 16:00:00,8.11,-6.25
NIFTY MEDIA,NIFTY MEDIA,2203.05,2220.65,2124.95,2153,2189.45,-36.44999999999982,-1.66,2465.95,1636.65,61178546,5425679831.08,25-Oct-2023 16:00:00,5.75,-4.48
NIFTY MIDSML 400,NIFTY MIDSML 400,13696.2,13754.3,13405.8,13552.95,13636.55,-83.59999999999854,-0.61,14523.9,10106,1998930414,292439909607.61,25-Oct-2023 16:00:00,25.44,-2.14
NIFTY FMCG,NIFTY FMCG,51385.2,51619.6,50954.35,51216.85,51421.65,-204.8000000000029,-0.4,54349.85,43447.9,24094225,22383843015.36,25-Oct-2023 16:00:00,16.31,-0.36
NIFTY CONSR DURBL,NIFTY CONSR DURBL,28289.7,28435.05,28073.85,28152.25,28234.45,-82.20000000000073,-0.29,30892.4,14089.55,10762495,13138286105.8,25-Oct-2023 16:00:00,5.98,-2.97
NIFTY MICROCAP250,NIFTY MICROCAP250,15944.6,16099.25,15442.45,15683.95,15839.2,-155.25,-0.98,16920.6,5802.95,751187384,59219529649.65,25-Oct-2023 16:00:00,45.22,-0.34
PDSL,PDSLEQN,548.95,598.8,544.3,592,541.05,50.95,9.42,629.9,292.2,254576,144550798.55999997,25-Oct-2023 15:57:03,78.86,22.7
SHANTIGEAR,SHANTIGEAREQN,426.8,454,401.25,451,414.75,36.25,8.74,527.9,294.45,603024,265330560,25-Oct-2023 15:55:20,15.24,-10.03
KKCL,KKCLEQN,762,827.45,745,785,724.05,60.95,8.42,827.45,364.15,1920568,1522875984.24,25-Oct-2023 15:59:59,48.98,3.19
BAJAJCON,BAJAJCONEQN,232.45,256,232.4,248,229,19,8.3,262.4,150.4,7493868,1860652485.72,25-Oct-2023 15:59:46,50.07,-1.36
NEWGEN,NEWGENEQN,1070,1154.55,1055,1131,1049.6,81.4,7.76,1185,299.95,466001,520425256.78999996,25-Oct-2023 15:57:43,187.25,21.63
WONDERLA,WONDERLAEQN,809.7,887,804.6,855.5,807.75,47.75,5.91,887,317,1700675,1465658721.75,25-Oct-2023 15:59:59,122.25,27.11
CARTRADE,CARTRADEEQN,619.85,652.45,619.85,652,616.15,35.85,5.82,699.5,340.15,180128,114483952.96000001,25-Oct-2023 15:58:48,1.87,12.82
SEQUENT,SEQUENTEQN,96.25,102.2,96,99.75,94.3,5.45,5.78,113.8,61.8,16829531,1672182200.16,25-Oct-2023 15:58:59,-6.77,6.73
DODLA,DODLAEQN,686,707.4,664.05,707,668.95,38.05,5.69,898.9,431.2,332305,229187435.45000002,25-Oct-2023 15:59:21,30.54,-2.16
DATAMATICS,DATAMATICSEQN,594,629.3,588.1,611,582.75,28.25,4.85,678.7,256,288625,175331028.75,25-Oct-2023 15:58:40,89.64,0.51
SHAREINDIA,SHAREINDIAEQN,1396.05,1469.95,1396.05,1463.2,1399.25,63.95,4.57,1492.8,977.96,327779,471519924.87,25-Oct-2023 15:58:46,5.91,2.75
UNICHEMLAB,UNICHEMLABEQN,427,443.55,416.95,439,421.65,17.35,4.11,466.95,264.8,89975,39112132.5,25-Oct-2023 15:53:26,8.1,1.03
ANANTRAJ,ANANTRAJEQN,227,234,220,232.4,223.55,8.85,3.96,244.25,88,2776268,629879683.84,25-Oct-2023 15:57:32,106.42,4.81
SIYSIL,SIYSILEQN,509.75,529.4,500.15,526,506.3,19.7,3.89,635,399.3,128751,66908032.169999994,25-Oct-2023 15:59:06,13.04,-12.49
CHENNPETRO,CHENNPETROEQN,540,540.7,508.05,538,520.4,17.6,3.38,612.8,186.6,1656669,874588698.4799999,25-Oct-2023 15:58:22,128.6,0.41
WELENT,WELENTEQN,255,265,244.85,260,252.1,7.9,3.13,318.7,117.3,215945,54910494.6,25-Oct-2023 15:53:03,97.34,-8.81
HBLPOWER,HBLPOWEREQN,268.05,277.25,263.1,273.55,265.7,7.85,2.95,310.95,86.15,1842935,500264705.75,25-Oct-2023 15:58:20,134.3,6.47
ETHOSLTD,ETHOSLTDEQN,1600,1631,1571.65,1611.9,1571.4,40.5,2.58,1819.2,844.55,45157,72263392.39,25-Oct-2023 15:58:32,59.9,-10.7
PTCIL,PTCILEQN,4976,4999,4840.05,4950,4829.95,120.05,2.49,6342.35,2950,2533,12506155.57,25-Oct-2023 15:29:58,-,-12.68
EMUDHRA,EMUDHRAEQN,423.5,450.95,422.8,434,423.5,10.5,2.48,534.8,206.8,112242,48436912.68,25-Oct-2023 15:59:54,28.51,-12.55
RKFORGE,RKFORGEEQN,624,649.7,616,634,620.25,13.75,2.22,752.95,217.55,406723,253677202.33,25-Oct-2023 15:56:47,167.18,-4
GREENLAM,GREENLAMEQN,420,439,411.55,416,407.05,8.95,2.2,519,281.55,67416,28429327.2,25-Oct-2023 15:50:05,27.54,-4.82
GMDCLTD,GMDCLTDEQN,357,372.8,343.35,360.4,352.8,7.6,2.15,434.4,122.7,9977284,3596711109.1600003,25-Oct-2023 15:58:32,152.18,32.06
AARTIPHARM,AARTIPHARMEQN,382,392,373,390,382,8,2.09,476.05,234.8,132418,50725363.26,25-Oct-2023 15:46:39,-,-11.57
VRLLOG,VRLLOGEQN,668.9,674,644.4,674,661.95,12.05,1.82,772.5,483,63148,41566539.52,25-Oct-2023 15:59:19,10.81,-5.81
DWARKESH,DWARKESHEQN,92.5,96.35,90.2,92.3,90.7,1.6,1.76,113.15,75,6275771,586157011.4,25-Oct-2023 15:59:50,-6.49,-9.93
AGI,AGIEQN,921.2,929.9,875.8,917.75,902.85,14.9,1.65,1089,280.5,379100,343953639,25-Oct-2023 15:59:27,178.4,2.05
TATAMETALI,TATAMETALIEQN,907,930,907,921,907,14,1.54,1006.65,705.9,100724,92808100.84,25-Oct-2023 15:43:19,24.79,-4.25
PRIVISCL,PRIVISCLEQN,1190,1220,1185,1213,1195.55,17.45,1.46,1392.65,871.05,25606,30826551.28,25-Oct-2023 15:48:22,-12.53,-0.48
VOLTAMP,VOLTAMPEQN,4352,4404.25,4265.75,4395.45,4338.45,57,1.31,5973.3,2387.5,32986,143056653.54000002,25-Oct-2023 15:51:41,62.05,-11.9
RATEGAIN,RATEGAINEQN,595.8,615.45,586.4,601,593.25,7.75,1.31,650,262.95,394573,236546513.5,25-Oct-2023 15:53:22,111.31,9.95
ESABINDIA,ESABINDIAEQN,5510,5672.9,5410,5574,5502.25,71.75,1.3,5850,3244.85,10727,59577972.54000001,25-Oct-2023 15:44:57,61.41,10.14
MAITHANALL,MAITHANALLEQN,1016,1051,1004.65,1028.7,1015.6,13.1,1.29,1206.95,766.55,42143,43273696.69,25-Oct-2023 15:47:08,3.91,-3.56
JPASSOCIAT,JPASSOCIATEQN,12.15,12.25,11.3,11.9,11.75,0.15,1.28,14.45,6.55,36021119,424328781.82,25-Oct-2023 15:59:18,14.08,0.43
KTKBANK,KTKBANKEQN,225,231.6,220.25,226.5,223.7,2.8,1.25,257.7,89.5,1601257,363773565.26,25-Oct-2023 15:59:51,143.02,-7.47
TCIEXP,TCIEXPEQN,1319.05,1339.2,1303.55,1335,1319.05,15.95,1.21,1982,1303.55,20919,27594880.470000003,25-Oct-2023 15:59:12,-31.2,-10.06
SUPRIYA,SUPRIYAEQN,242.05,246.55,235,241.5,238.7,2.8,1.17,310.6,170.15,154802,37297993.88,25-Oct-2023 15:56:33,-17.9,-13.9
SCHNEIDER,SCHNEIDEREQN,322.35,324.8,306.25,316,312.35,3.65,1.17,397,138.2,497317,157022869.58,25-Oct-2023 15:56:08,79.31,-10.24
SARDAEN,SARDAENEQN,205,213.75,193.15,207,204.65,2.35,1.15,256,81.06,391395,79480582.64999999,25-Oct-2023 15:54:55,-75.2,-4.77
GATEWAY,GATEWAYEQN,88.3,89.4,85.25,88.55,87.6,0.95,1.08,93.95,58.55,725938,63715578.26,25-Oct-2023 15:59:50,26.96,3.06
SSWL,SSWLEQN,283.9,283.9,265.4,272.8,269.9,2.9,1.07,299,128.25,296439,81212428.44,25-Oct-2023 15:56:12,-64.5,1.79
TCI,TCIEQN,780.8,806.8,780.8,803.75,795.5,8.25,1.04,867.95,555.25,48449,38472866.410000004,25-Oct-2023 15:51:22,4.31,1.05
TINPLATE,TINPLATEEQN,380.65,389.6,380.65,384.5,380.65,3.85,1.01,421,295.8,123079,47400184.480000004,25-Oct-2023 15:59:48,26.02,-3.82
HEMIPROP,HEMIPROPEQN,127.6,130.85,123.55,126.7,125.45,1.25,1,143.4,79.9,2571817,328421030.90000004,25-Oct-2023 15:59:57,31.64,6.45
SPLPETRO,SPLPETROEQN,551,563.2,541,555,549.55,5.45,0.99,618,337.5,96132,53111007.36,25-Oct-2023 15:45:45,-25.46,17.7
ASTRAZEN,ASTRAZENEQN,4580.25,4660,4546.1,4625,4580.3,44.7,0.98,4830,3080.25,12007,55325494.39000001,25-Oct-2023 15:48:10,48.15,-0.08
IFCI,IFCIEQN,21.65,22.55,20.9,21.5,21.3,0.2,0.94,26.6,9,45648418,995135512.4,25-Oct-2023 15:58:35,115.15,-7.59
HERITGFOOD,HERITGFOODEQN,221.45,224.15,214.4,219.5,217.55,1.95,0.9,287.35,135.15,485229,105517898.34,25-Oct-2023 15:57:21,-32.01,-7.23
DALMIASUG,DALMIASUGEQN,421.35,430.1,404.1,417.95,414.25,3.7,0.89,485,310.1,279421,117504913.13,25-Oct-2023 15:58:45,27.21,-3.2
DREAMFOLKS,DREAMFOLKSEQN,507,521.6,476.05,509,504.9,4.1,0.81,847,348,1495679,756215302.4,25-Oct-2023 15:58:13,21.79,7.64
TIPSINDLTD,TIPSINDLTDEQN,337.5,353.35,331.5,342,339.4,2.6,0.77,384.5,143,289593,98922072.86999999,25-Oct-2023 15:59:25,-79.95,9.55
ORIENTCEM,ORIENTCEMEQN,195.8,199.4,190,195.2,193.85,1.35,0.7,216.5,104.6,1796155,349585647.65,25-Oct-2023 15:58:41,53.24,16.36
HIL,HILEQN,2801,2829,2789.05,2820,2800.85,19.15,0.68,3275,2202.1,9495,26643919.5,25-Oct-2023 15:52:09,-2.74,-3.03
CMSINFO,CMSINFOEQN,367.5,378.5,364.75,367.15,364.8,2.35,0.64,409.4,260.8,580213,214673007.87,25-Oct-2023 15:58:06,17.81,4.51
GHCL,GHCLEQN,580.45,590.7,576.25,584,580.45,3.55,0.61,674,464.15,231726,135096258,25-Oct-2023 15:47:18,-11.88,-7.73
GARFIBRES,GARFIBRESEQN,3096.75,3199.95,3052.35,3113,3096.75,16.25,0.52,3635.85,2650,10701,33672087.63,25-Oct-2023 15:48:15,-13.32,-3.06
RUPA,RUPAEQN,242,246.9,236.3,241.8,240.65,1.15,0.48,324,197.2,123992,29999864.4,25-Oct-2023 15:58:49,-20.84,-7.35
JCHAC,JCHACEQN,1127,1163.2,1091,1132.8,1127.75,5.05,0.45,1393,938,39287,43991618.25,25-Oct-2023 15:53:41,-8.02,-7.92
MARKSANS,MARKSANSEQN,101.4,105.05,99.5,101.6,101.15,0.45,0.44,122.5,47.35,1466007,149459413.65,25-Oct-2023 15:59:16,106.22,-3.39
HCG,HCGEQN,363.1,363.7,356.45,363,361.45,1.55,0.43,380.35,253.15,94718,34125948.22,25-Oct-2023 15:40:33,23.53,3.94
ICIL,ICILEQN,230,236,215.2,228.05,227.1,0.95,0.42,255,101.25,669073,150708693.25,25-Oct-2023 15:50:49,67.97,-5.9
SOUTHBANK,SOUTHBANKEQN,24.25,25.15,23.55,24.25,24.15,0.1,0.41,27.6,11.55,43081724,1048178344.92,25-Oct-2023 15:59:39,103.8,-9.89
EDELWEISS,EDELWEISSEQN,61.75,63.2,60,61.5,61.25,0.25,0.41,77.4,35,5910107,365421915.81,25-Oct-2023 15:58:27,4.26,14.59
HCC,HCCEQN,24.95,25.5,23.75,24.65,24.55,0.1,0.41,30.3,12.6,54846615,1351420593.6000001,25-Oct-2023 15:59:17,77.26,-6.12
TIIL,TIILEQN,2089.95,2150,2001.55,2081,2072.65,8.35,0.4,2318.75,721,20474,42694841.68,25-Oct-2023 15:57:56,182.69,1.95
JTEKTINDIA,JTEKTINDIAEQN,132.35,134.7,126.05,131.65,131.2,0.45,0.34,168,95.25,195330,25556977.2,25-Oct-2023 15:56:53,22.33,-8.54
HIKAL,HIKALEQN,271.45,278,264,270.95,270.05,0.9,0.33,427.8,260.75,202418,54665005.08,25-Oct-2023 15:58:48,-16.7,-10.09
HNDFDS,HNDFDSEQN,533,537.75,525,530,528.45,1.55,0.29,749,463.05,40727,21560059.26,25-Oct-2023 15:58:28,9.98,-14.6
PRUDENT,PRUDENTEQN,1290.2,1319,1265.1,1293.55,1289.95,3.6,0.28,1378.15,678.55,18370,23654130.5,25-Oct-2023 15:51:55,84.09,11.55
TIDEWATER,TIDEWATEREQN,1130,1153.7,1121.55,1142,1140.2,1.8,0.16,1274.4,805.15,39806,45175431.34,25-Oct-2023 15:53:40,9.7,-4.84
ZENTEC,ZENTECBEN,670.2,712,657,678.9,678.2,0.7,0.1,911.4,175.15,128395,88050723.1,25-Oct-2023 15:54:53,-,-5.83
HATHWAY,HATHWAYEQN,18,18.4,17.4,17.85,17.85,0,0,22.3,12.25,11937765,214641014.70000002,25-Oct-2023 15:59:46,11.91,-6.79
STARCEMENT,STARCEMENTEQN,154.4,157.7,147,151.3,151.3,0,0,182.35,92.55,907321,138076109.78,25-Oct-2023 15:59:05,44.58,-1.4
KOLTEPATIL,KOLTEPATILEQN,444.95,461.75,429.35,440.6,440.6,0,0,520,231,207545,91990170.35000001,25-Oct-2023 15:59:53,26.07,-2.38
SPANDANA,SPANDANAEQN,805,818.05,789.6,798,798.3,-0.3,-0.04,863.9,470,88311,70911083.67,25-Oct-2023 15:50:03,-,6.42
MSTCLTD,MSTCLTDEQN,441.4,453.6,428,438.5,438.7,-0.2,-0.05,533,239,382575,169453944.75,25-Oct-2023 15:48:54,70.04,8.43
DOLLAR,DOLLAREQN,405.55,415.55,393.2,403,403.5,-0.5,-0.12,516.5,310.6,91358,36992681.36,25-Oct-2023 15:55:40,-20.87,-5.08
IFBIND,IFBINDEQN,902,917.85,885.8,896.05,897.5,-1.45,-0.16,1129.95,698,28896,25987617.6,25-Oct-2023 15:55:07,-3.58,-1.95
HEIDELBERG,HEIDELBERGEQN,187.85,190.5,185.95,187.45,187.85,-0.4,-0.21,211.95,152.75,336636,63223607.160000004,25-Oct-2023 15:45:31,-0.56,6.01
NEOGEN,NEOGENEQN,1595,1604,1542,1558,1561.55,-3.55,-0.23,1859.3,1140,88450,138049222,25-Oct-2023 15:56:28,4.44,-8.59
RELIGARE,RELIGAREEQN,227.25,232.8,226.9,228.15,228.7,-0.55,-0.24,280.6,135.6,1315954,301353466,25-Oct-2023 15:59:46,30.28,-15.78
MIDHANI,MIDHANIEQN,398.05,406.2,383,394.2,395.2,-1,-0.25,476.7,172.25,1269064,503615357.76,25-Oct-2023 15:53:16,60,-0.58
JTLIND,JTLINDEQN,224,227.65,217,220,220.6,-0.6,-0.27,251.6,141,696935,153834462.54999998,25-Oct-2023 15:59:12,-,-1.8
TMB,TMBEQN,571.95,581,561.05,570,571.75,-1.75,-0.31,611.35,399,89493,50977002.660000004,25-Oct-2023 15:58:18,16.65,6.31
TECHNOE,TECHNOEEQN,515,519.95,491.55,505,506.7,-1.7,-0.34,561.3,278,81310,40756637.5,25-Oct-2023 15:59:44,79.52,-1.34
SHILPAMED,SHILPAMEDEQN,312,319.7,305.05,309.25,310.5,-1.25,-0.4,384.5,222.6,112489,35077444.87,25-Oct-2023 15:58:07,-4.62,-12.61
CAPLIPOINT,CAPLIPOINTEQN,1011.35,1019.7,983.35,993,997.4,-4.4,-0.44,1143.95,575,53839,54000517,25-Oct-2023 15:59:16,34.87,-0.24
STAR,STAREQN,495.2,495.2,477,483,485.25,-2.25,-0.46,549,268.15,272460,131837944.8,25-Oct-2023 15:56:12,63,-2.71
SURYAROSNI,SURYAROSNIEQN,526.1,547.05,508.15,521,523.45,-2.45,-0.47,600.6,200.15,253354,133705039.96000001,25-Oct-2023 15:59:32,19.88,-46.07
SBCL,SBCLEQN,518.55,549.55,507.7,514.8,517.4,-2.6,-0.5,750,359,127044,65503886.400000006,25-Oct-2023 15:56:51,13.75,-3.85
SUBEXLTD,SUBEXLTDEQN,30,30.45,28.75,29.4,29.55,-0.15,-0.51,39.2,25,4157005,123255198.25,25-Oct-2023 15:56:28,-2.15,-10.59
INOXWIND,INOXWINDEQN,205.2,207.95,189.65,201.9,202.95,-1.05,-0.52,228.4,88.8,1597638,317642387.15999997,25-Oct-2023 15:57:08,34,5.92
EVEREADY,EVEREADYEQN,354.8,360,350.3,352.95,354.8,-1.85,-0.52,441.9,273.35,116088,41203113.84,25-Oct-2023 15:59:40,16.35,-7.98
MAYURUNIQ,MAYURUNIQEQN,526.45,527.75,507.5,519,521.75,-2.75,-0.53,583.9,393.2,125228,64590097.839999996,25-Oct-2023 15:55:14,8.29,5.36
JPPOWER,JPPOWEREQN,8.9,9.15,8.35,8.8,8.85,-0.05,-0.56,10.85,5.15,126950284,1119701504.88,25-Oct-2023 15:59:51,14.19,-14.9
WABAG,WABAGEQN,463.65,468.8,441.35,460,462.8,-2.8,-0.61,545,260.5,775955,352562913.8,25-Oct-2023 15:57:41,73.72,-0.36
TIMETECHNO,TIMETECHNOEQN,149.15,151.15,142.65,147.1,148.05,-0.95,-0.64,163.6,69.4,1808677,267810803.39,25-Oct-2023 15:56:16,46.44,-4.36
GODREJAGRO,GODREJAGROEQN,464,470.4,455.85,462,465.3,-3.3,-0.71,530,390.85,99246,46042204.32,25-Oct-2023 15:56:53,-9.43,-3.05
GLOBUSSPR,GLOBUSSPREQN,817.5,817.5,790,795.95,801.85,-5.9,-0.74,1327.7,721.5,71968,57580877.120000005,25-Oct-2023 15:58:11,-1.11,-8
CARYSIL,CARYSILEQN,615.05,631,593.1,610,614.9,-4.9,-0.8,739.5,431.05,108977,66504304.019999996,25-Oct-2023 15:58:32,-,0.23
UJJIVAN,UJJIVANEQN,536,551.8,524,528.3,532.55,-4.25,-0.8,604.9,222,784271,422478944.99000007,25-Oct-2023 15:59:11,119.29,7.73
UNIPARTS,UNIPARTSEQN,555.05,563.65,541.3,551.85,556.4,-4.55,-0.82,722.65,501.15,118256,65339987.68,25-Oct-2023 15:52:59,-,-4.18
APOLLOPIPE,APOLLOPIPEEQN,680,681.8,657.1,670,675.6,-5.6,-0.83,790,437.1,55217,36786669.74,25-Oct-2023 15:59:00,31.12,-1.63
SULA,SULAEQN,465,479.35,458,460,463.85,-3.85,-0.83,535,305.35,323036,151730009.2,25-Oct-2023 15:56:30,-,-2.12
GREAVESCOT,GREAVESCOTEQN,126,127.8,123.5,124.3,125.35,-1.05,-0.84,165,118.15,794681,99835774.03,25-Oct-2023 15:59:09,-16.43,-11.35
ARVIND,ARVINDEQN,173.7,178.4,165.5,169.95,171.4,-1.45,-0.85,194.7,77.7,1261431,217445475.78,25-Oct-2023 15:51:57,81.38,2.6
VSTTILLERS,VSTTILLERSEQN,3559.85,3578.15,3425,3450.15,3479.9,-29.75,-0.85,3914,2098.6,12394,43381106.980000004,25-Oct-2023 15:56:28,62.46,-6.28
MOIL,MOILEQN,229.9,236.75,220.05,225.7,227.65,-1.95,-0.86,280,140.75,1665010,380271633.9,25-Oct-2023 15:59:26,47.25,6.01
LANDMARK,LANDMARKEQN,721,731.35,700,709.75,716,-6.25,-0.87,863.3,431.15,143289,101407058.19000001,25-Oct-2023 15:53:13,-,-9.19
IBREALEST,IBREALESTEQN,73.6,76.9,70.5,72.15,72.8,-0.65,-0.89,94,45.9,7606262,555865626.96,25-Oct-2023 15:59:49,-2.8,-7.08
KSCL,KSCLEQN,646.1,662,632,637,642.75,-5.75,-0.89,692,454.6,219370,142450103.20000002,25-Oct-2023 15:55:29,38.26,1.85
TATVA,TATVAEQN,1477.75,1490,1443.05,1460.4,1473.8,-13.4,-0.91,2500,1443.05,16772,24442338.759999998,25-Oct-2023 15:58:54,-39.48,-9.01
DAAWAT,DAAWATEQN,163.5,165.75,155.6,158.7,160.2,-1.5,-0.94,194.1,90,885115,141680358.04999998,25-Oct-2023 15:59:59,29.35,1.26
HGS,HGSEQN,963.55,971.2,953.5,954,963.4,-9.4,-0.98,1480,953.5,14640,14032147.200000001,25-Oct-2023 15:58:51,-21.6,-3.9
NOCIL,NOCILEQN,219.3,224.75,211.65,217,219.15,-2.15,-0.98,260.4,199.1,590299,128313293.63000001,25-Oct-2023 15:59:40,-14.98,-6.84
BALMLAWRIE,BALMLAWRIEEQN,136.2,139.8,131.7,134,135.35,-1.35,-1,178.7,108.5,544871,74053417.61,25-Oct-2023 15:59:21,21.66,-12.39
SANSERA,SANSERAEQN,906.45,908.05,879,888.5,897.55,-9.05,-1.01,998.2,697.05,95675,85025415.75,25-Oct-2023 15:57:24,25.01,-4.58
CAMLINFINE,CAMLINFINEEQN,149.25,152.4,143.45,147.1,148.7,-1.6,-1.08,186.35,124.05,424819,62478130.33,25-Oct-2023 15:59:24,2.27,-7.44
